time,Kihihi,Kihihi-halfDeg,Kihihi-oneDeg,Walukuba,Walukuba-halfDeg,Walukuba-oneDeg,Nagongera,Nagongera-halfDeg,Nagongera-oneDeg
1981-01-01,0.0,0.7277701497077942,0.6220577359199524,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-02,10.877710342407227,7.9632768630981445,7.727595329284668,0.0,4.587846755981445,8.818572998046875,0.0,2.4492697715759277,6.082298755645752
1981-01-03,7.251807689666748,7.721518039703369,7.592662811279297,8.240530014038086,8.971151351928711,6.889745712280273,0.0,0.0,0.5285558104515076
1981-01-04,0.0,3.596597909927368,3.511683464050293,15.565445899963379,7.9888916015625,6.791508674621582,0.0,2.946958065032959,3.224064826965332
1981-01-05,0.0,0.7277701497077942,0.6220577359199524,0.0,0.0,0.6447471380233765,21.7263126373291,14.043142318725586,8.841913223266602
1981-01-06,0.0,0.0,0.0,0.0,0.0,0.09165722131729126,0.0,0.792796790599823,1.5440163612365723
1981-01-07,0.0,0.0,0.0,7.941163063049316,7.619381904602051,6.637300968170166,0.0,3.271160840988159,2.5630486011505127
1981-01-08,0.0,0.0,0.0,0.0,0.0,0.0328984260559082,0.0,0.046415433287620544,0.3274673819541931
1981-01-09,7.377890586853027,7.0819411277771,7.335721015930176,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-13,0.0,0.0,0.0,0.0,0.0,1.3390686511993408,0.0,0.0,0.0
1981-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-16,0.0,0.0,0.0,0.0,1.5138047933578491,1.4944190979003906,0.0,0.0,0.0
1981-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-22,5.9031195640563965,3.9233713150024414,3.9664266109466553,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-23,5.017651557922363,6.992841720581055,6.66294002532959,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-25,0.0,0.49342164397239685,0.5436332821846008,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-26,2.7405035495758057,3.7229058742523193,4.579836845397949,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-27,5.481007099151611,1.364168643951416,1.7367631196975708,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-28,2.7405035495758057,0.8568384647369385,0.7242245674133301,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-29,0.0,0.40436434745788574,0.5166652798652649,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-30,0.0,0.40436434745788574,0.5166652798652649,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-31,0.0,0.40436434745788574,0.5166652798652649,0.0,0.0,0.0,0.0,0.8415611386299133,0.9366071820259094
1981-02-01,0.0,0.6619306206703186,0.8730103373527527,0.8917500376701355,1.5443800687789917,1.4292190074920654,0.0,0.0,0.005501470062881708
1981-02-02,6.82524299621582,4.621939182281494,4.622704029083252,0.8917500376701355,0.8777379393577576,1.2742764949798584,0.0,0.0,0.005501470062881708
1981-02-03,0.0,0.0,0.0,0.8917500376701355,0.36051568388938904,0.155960351228714,0.0,0.0,0.005501470062881708
1981-02-04,0.0,0.0,0.0,0.8917500376701355,0.36051568388938904,0.155960351228714,0.0,0.0,0.005501470062881708
1981-02-05,0.0,0.0,0.0,0.8917500376701355,0.36051568388938904,0.155960351228714,0.0,0.0,0.005501470062881708
1981-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-02-10,0.0,2.285223960876465,3.545612096786499,0.0,1.3583065271377563,1.254389762878418,0.0,0.3357996344566345,0.39563027024269104
1981-02-11,0.0,2.3794426918029785,2.8527350425720215,0.0,0.0,1.2625468969345093,0.0,0.0,0.014553358778357506
1981-02-12,0.0,1.9591209888458252,2.3797614574432373,0.0,0.0,0.0,0.0,0.0,0.014553358778357506
1981-02-13,0.0,0.2720673382282257,0.18196235597133636,0.0,0.0,0.0,0.0,0.0,0.014553358778357506
1981-02-14,0.0,0.2720673382282257,0.18196235597133636,2.40640926361084,2.1481311321258545,1.1885333061218262,0.0,0.2553580105304718,0.5024335980415344
1981-02-15,0.0,0.2720673382282257,0.18196235597133636,4.010682106018066,4.718317031860352,4.260472774505615,7.041635513305664,5.874930381774902,5.255072116851807
1981-02-16,0.0,0.0,0.0,16.30537986755371,15.084088325500488,10.8150634765625,0.0,1.5597091913223267,3.0590295791625977
1981-02-17,19.28984832763672,11.617332458496094,13.14783000946045,11.18996810913086,10.2062406539917,8.161172866821289,19.1654109954834,13.182387351989746,10.699689865112305
